域名,pop3,smtp,imap,端口,,
qq.com,pop.qq.com,smtp.qq.com,imap.qq.com,143,,
vip.qq.com,pop.qq.com,smtp.qq.com,imap.qq.com,143,,
qqmail.com,pop.qqmail.com,smtp.qqmail.com,,,,
foxmail.com.cn,pop.foxmail.com.cn,smtp.foxmail.com.cn,,,,
foxmail.com,pop.foxmail.com,smtp.foxmail.com,,,,
移动139.com,pop.139.com,smtp.139.com,,,,
天翼189.cn,pop.189.cn,smtp.189.cn,,,,
联通wo.com.cn,pop.wo.com.cn,smtp.wo.com.cn,,,,
ruyi.com,pop.ruyi.com,smtp.ruyi.com,,,,
51.com,210.77.145.189,,,,,
21cn.com,pop.21cn.com,smtp.21cn.com,imap.21cn.com,143,,
sina.com,pop3.sina.com.cn,smtp.sina.com.cn,,,,
263.sina.com,pop3.263.sina.com,smtp.263.sina.com,,,,
vip.sina.com,pop3.vip.sina.com,smtp.vip.sina.com,,,,
sina.cn,pop3.vip.sina.com,smtp.vip.sina.com,,,,
my3ia.sina.com,pop3.my3ia.sina.com,smtp.my3ia.sina.com,,,,
sina100.com,pop3.sina100.com,smtp.sina100.com,,,,
163.net,pop.163.net,smtp.163.net,,,,
tom.com,pop.tom.com,smtp.tom.com,,,,
163.com,pop.163.com,smtp.163.com,,,,
vip.163.com,pop.vip.163.com,smtp.vip.163.com,,,,
126.com,pop3.126.com,smtp.126.com,,,,
yeah.net,pop.yeah.net,smtp.yeah.net,,,,
netease.com,pop.netease.com,smtp.netease.com,,,,
56.com,pop3.56.com,smtp.56.com,,,,
188.com,pop.188.com,smtp.188.com,,,,
gmail.com,pop.gmail.com,smtp.gmail.com,imap.gmail.com,995,465,993
fm365.com,mail.fm365.com,mail.fm365.com,,,,
263.net,263.net,smtp.263.net,,,,
x263.net,pop.x263.net,smtp.x263.net,,,,
263.net.cn,263.net.cn,263.net.cn,,,,
elong.com,pop3.elong.com,smtp.elong.com,,,,
chinaren.com,pop.chinaren.com,,,,,
km169.net,email.km169.net,email.km169.net,,,,
cmmail.com,pop3.cmmail.com,smtp.cmmail.com,,,,
china.com,pop.china.com,smtp.china.com,,,,
cww.com,pop.china.com,smtp.china.com,,,,
eazier.com,pop.easier.com,smtp.eazier.com,,,,
sohu.com,pop3.sohu.com,smtp.sohu.com,,,,
vip.sohu.com,pop3.vip.sohu.com,smtp.vip.sohu.com,,,,
sohu.net,pop3.sohu.net,smtp.sohu.net,,,,
fd21.com,pop.fd21.com,smtp.fd21.com,,,,
online.sh.cn,pop.citiz.net,smtp.citiz.net,,,,
etang.com,pop.free.etang.com,smtp.free.etang.com,,,,
myrice.com,pop.myrice.com,smtp.myrice.com,,,,
